ID,Unvocalized,Vocalized,Root,Triliteral,Madhi,Mudhori,Amar
238,حزم,حَزَمَ,حزم,1,حَزَمَ,يَحْزِمُ,اِحْزِمْ
239,كدر,كَدِرَ,كدر,1,كَدِرَ,يَكْدِرُ,اِكْدِرْ
240,خرب,خَرِبَ,خرب,1,خَرِبَ,يَخْرِبُ,اِخْرِبْ
241,حسف,حَسَفَ,حسف,1,حَسَفَ,يَحْسِفُ,اِحْسِفْ
242,سدل,سَدِلَ,سدل,1,سَدِلَ,يَسْدِلُ,اِسْدِلْ
243,سكر,سَكِرَ,سكر,1,سَكِرَ,يَسْكِرُ,اِسْكِرْ
244,حسم,حَسَمَ,حسم,1,حَسَمَ,يَحْسِمُ,اِحْسِمْ
245,حشد,حَشَدَ,حشد,1,حَشَدَ,يَحْشِدُ,اِحْشِدْ
246,خزل,خَزَلَ,خزل,1,خَزَلَ,يَخْزِلُ,اِخْزِلْ
247,خزر,خَزِرَ,خزر,1,خَزِرَ,يَخْزِرُ,اِخْزِرْ
248,لبد,لَبِدَ,لبد,1,لَبِدَ,يَلْبِدُ,اِلْبِدْ
249,خلس,خَلِسَ,خلس,1,خَلِسَ,يَخْلِسُ,اِخْلِسْ
250,نمس,نَمِسَ,نمس,1,نَمِسَ,يَنْمِسُ,اِنْمِسْ
251,قبس,قَبَسَ,قبس,1,قَبَسَ,يَقْبِسُ,اِقْبِسْ
252,ركن,رَكَنَ,ركن,1,رَكَنَ,يَرْكِنُ,اِرْكِنْ
253,قشف,قَشِفَ,قشف,1,قَشِفَ,يَقْشِفُ,اِقْشِفْ
254,خمج,خَمِجَ,خمج,1,خَمِجَ,يَخْمِجُ,اِخْمِجْ
255,فقص,فَقَصَ,فقص,1,فَقَصَ,يَفْقِصُ,اِفْقِصْ
256,رشم,رَشِمَ,رشم,1,رَشِمَ,يَرْشِمُ,اِرْشِمْ
257,خفر,خَفَرَ,خفر,1,خَفَرَ,يَخْفِرُ,اِخْفِرْ
258,رحل,رَحَلَ,رحل,1,رَحَلَ,يَرْحِلُ,اِرْحِلْ
259,خلب,خَلَبَ,خلب,1,خَلَبَ,يَخْلِبُ,اِخْلِبْ
260,درز,دَرِزَ,درز,1,دَرِزَ,يَدْرِزُ,اِدْرِزْ
261,خشف,خَشَفَ,خشف,1,خَشَفَ,يَخْشِفُ,اِخْشِفْ
